0.001000	0.075261	0.538809	0.457703	0.301430	0.878447	0.365506	0.637433	0.612544	0.135884	0.494549	0.570351	0.788589	0.251430	0.309506
0.001000	0.777845	0.345784	0.914061	0.316115	0.720417	0.825993	0.063807	0.114873	0.429632	0.237353	0.870607	0.398221	0.313478	0.538397
0.001000	0.916773	0.943962	0.803228	0.447024	0.489929	0.192490	0.539647	0.440989	0.275701	0.762916	0.036234	0.106347	0.461876	0.141069
0.001000	0.224812	0.112357	0.897377	0.504298	0.668371	0.010491	0.804679	0.013725	0.740996	0.821452	0.174972	0.316107	0.520636	0.096046
0.001000	0.292724	0.701400	0.049744	0.606761	0.030966	0.627216	0.638205	0.527255	0.768319	0.362401	0.020514	0.022698	0.795752	0.993154
0.001000	0.969048	0.007086	0.856632	0.645600	0.853544	0.013383	0.359892	0.355483	0.852812	0.946359	0.721522	0.308708	0.160647	0.853466
0.001000	0.624163	0.796369	0.745974	0.492583	0.227965	0.162165	0.657478	0.038190	0.202365	0.976222	0.450777	0.198350	0.094484	0.091749
0.001000	0.486722	0.674031	0.358593	0.475593	0.257132	0.458319	0.305112	0.851331	0.001513	0.156456	0.316139	0.933457	0.654150	0.368431
0.001000	0.365358	0.889978	0.683690	0.836926	0.463107	0.703560	0.513518	0.558698	0.341748	0.277968	0.899522	0.046009	0.389725	0.562203
0.001000	0.924988	0.112425	0.960269	0.987058	0.669870	0.581214	0.731593	0.651474	0.282393	0.633281	0.004638	0.517196	0.690952	0.858010
0.001000	0.920830	0.439134	0.971969	0.626210	0.141189	0.819048	0.568535	0.676077	0.465384	0.041778	0.757307	0.885988	0.981617	0.792865
0.001000	0.202627	0.953883	0.180953	0.756401	0.678566	0.731287	0.821028	0.347450	0.614530	0.122077	0.194357	0.312725	0.041499	0.856327
0.001000	0.791663	0.033827	0.871354	0.201170	0.642199	0.485828	0.485069	0.858840	0.413874	0.220540	0.632683	0.147783	0.935375	0.754688
0.001000	0.488476	0.431416	0.366218	0.554024	0.128771	0.422918	0.413125	0.878186	0.202624	0.924921	0.641436	0.893051	0.465454	0.098368
0.001000	0.162628	0.577043	0.942144	0.037506	0.492691	0.040737	0.500614	0.512967	0.102789	0.309369	0.105305	0.381423	0.797827	0.595311
0.001000	0.821116	0.620263	0.220771	0.586720	0.890372	0.158901	0.586794	0.343967	0.794857	0.245943	0.516984	0.381620	0.159868	0.707618
0.001000	0.398198	0.697087	0.699295	0.127786	0.423275	0.194099	0.317674	0.439355	0.046658	0.275232	0.378901	0.458329	0.718868	0.874628
0.001000	0.913656	0.176343	0.985260	0.137208	0.244565	0.816158	0.618983	0.456135	0.379404	0.246797	0.476800	0.830782	0.059266	0.555461
